WAFER_ID,STAGE,MRR
-4224160600,A,61.6548
-4113511818,A,65.0223
-4113511814,A,58.27905
-4113511780,A,61.04565
-873170248,A,55.66965
-4224160694,A,57.86655
-4224160690,A,57.8484
-4113511808,A,53.64735
-4113511796,A,59.1954
-4113511792,A,59.8572
-4113511756,A,55.60095
-4113511752,A,56.95725
-4113511748,A,56.09865
-4111511820,A,54.59835
-873170272,A,55.08765
-4226160424,A,63.24495
-4224160650,A,61.0698
-4224160646,A,62.62545
-4113511826,A,62.3022
-4111511824,A,64.21455
-873170366,A,59.68785
-873170354,A,60.59415
-873170346,A,63.01095
-873170338,A,61.75965
-873170318,A,64.5318
-4228160600,A,62.05515
-4228160596,A,61.1604
-4228160580,A,58.3518
-4226160416,A,57.9618
-4226160396,A,61.22265
-4224160662,A,64.35705
-4224160654,A,60.3432
-873170306,A,60.16635
-4228160690,A,64.521
-4228160604,A,60.6567
-879170270,A,60.4995
-879170254,A,66.07485
-873170334,A,60.5967
3834719080,A,64.87095
-4228160702,A,67.42425
-4228160682,A,70.0665
-4228160678,A,66.02895
-879170112,A,65.77155
-879170108,A,68.5827
-879170100,A,65.36535
-879170096,A,64.4553
-879170092,A,71.59845
-879170088,A,66.2058
-879170072,A,71.253
2717292858,A,66.2304
-4230160598,A,68.8818
-4228160686,A,72.37185
-4228160670,A,74.21805
-4228160662,A,72.79755
-4228160642,A,78.33675
2717292822,A,72.0921
2717292834,A,70.43655
2717292838,A,70.90125
2717292862,A,69.18045
-879170104,A,72.73455
-877170268,A,69.24525
-4228160658,A,61.94655
-4216160666,A,61.4217
-4216160624,A,58.81275
-879170068,A,63.34515
-877170366,A,69.8253
-877170338,A,65.424
-877170322,A,65.90055
-877170264,A,60.30495
-4216160670,A,64.90665
-4216160662,A,63.6816
-899170202,A,65.35665
-899170186,A,65.36175
-879170076,A,65.5623
-877170350,A,61.56015
-877170330,A,61.5486
-877170326,A,61.2159
-877170272,A,65.0508
-877170260,A,57.82185
2703293050,A,61.77915
2717292802,A,60.1968
-4216160658,A,58.9947
-4216160650,A,59.3889
-899170198,A,63.6546
-899170156,A,59.2407
2703293042,A,54.82875
2703293054,A,56.79555
-4216160702,A,55.0086
-4216160694,A,56.9127
-4216160642,A,56.9673
-2701400532,A,58.7895
-4222160428,A,53.6943
-4222160420,A,53.7738
-4222160392,A,53.42655
-4220160674,A,58.9389
-2579249814,A,56.5359
-4222160448,A,65.16345
-4220160604,A,64.4562
-4111511816,A,73.4904
-2579249810,A,73.55835
-2579249784,A,73.7235
-4208160362,A,82.58775
-897170414,A,83.55975
4203773450,A,79.60575
-4210160444,A,75.0489
-903170198,A,68.30775
-897170370,A,78.9837
4203773632,A,78.0987
4203773640,A,73.9929
4203773692,A,73.9743
-4230160424,A,78.33015
-4220160702,A,68.09415
-4220160694,A,79.85925
-2133929500,A,78.58245
-903170194,A,80.55015
-903170172,A,69.6849
-903170168,A,72.966
-903170152,A,75.98775
-903170140,A,78.0135
4199773454,A,73.0263
4199773466,A,71.29815
4201773390,A,75.2973
4201773434,A,71.343
4201773438,A,69.9066
4201773444,A,74.4414
4203773652,A,79.06485
-4230160408,A,79.8045
-4216160640,A,78.65925
-4141512120,A,78.4977
-4111512062,A,76.88835
-4111512058,A,76.6485
-4111512050,A,79.4853
-2133929492,A,78.50115
-903170160,A,76.61475
-903170156,A,80.20785
-903170148,A,77.5974
-903170144,A,78.3189
-903170132,A,76.81305
4199773636,A,77.16615
